0007		ACADÉMIE GAÏA
0009		Sergi Castillo Lapeira
0010		© Sergi Castillo Lapeira, 2026
0011		Première édition : 2026
0012		Tous droits réservés.
0013		Aucune partie de cette publication ne peut être reproduite, stockée dans un système de récupération de données ni transmise, sous quelque forme et par quelque moyen que ce soit — électronique, mécanique, par photocopie, par enregistrement ou autre —, sans l’autorisation écrite et préalable de l’auteur, sauf dans le cas de brèves citations intégrées à des critiques ou à des travaux universitaires.
0014		Ceci est une œuvre de fiction. Les noms, les personnages, les lieux et les événements sont le fruit de l’imagination de l’auteur ou sont utilisés de manière fictive. Toute ressemblance avec des personnes réelles, vivantes ou mortes, serait purement fortuite.
0015		sergicastillo.com
0016		Pour Xavier et Hel·lena
0017		« Peut-être la réalité n’est-elle pas un lieu, mais la façon dont toutes les consciences se rencontrent. »
0018		— Académie Gaïa
0019		TABLE DES MATIÈRES
0937	Normal	Devant la fermeté et la détermination d’Anastasia, Johnny se sentit accablé, comme un petit garçon que sa mère réprimande avec sévérité. Aussi ce jeune homme athlétique et musclé, haut comme une montagne, baissa-t-il les yeux et dit :
0938	Normal	— D’accord, ma grande. Il n’y a aucune raison de te mettre dans un état pareil. Après tout, je veux seulement t’aider, toi et tes amis.
0939	Normal	En voyant sa réaction, Anastasia songea qu’elle y était peut-être allée un peu fort. Cependant, elle vivait sa demande avec une telle urgence qu’elle ne fut pas capable de baisser le ton et continua de se montrer on ne peut plus exigeante.
0940	Normal	— Johnny, je n’ai pas de temps à perdre…
0941	Normal	— Vois-tu. Ton frère Ilya, ou plutôt sa conscience spirituelle, est prisonnier d’une boucle interdimensionnelle, à la suite de ses expériences yogiques et mystiques, potentialisées par l’effet d’un champignon.
0942	Normal	— Peux-tu me l’expliquer mieux que cela ?
0943	Normal	— Oui. Quand je te dis qu’Ilya est prisonnier d’une boucle interdimensionnelle, je ne parle pas d’un lieu précis. Ce n’est pas qu’il soit sur une planète lointaine ou dans un nuage cosmique. C’est plutôt… une sorte d’espace intérieur devenu infini. Imagine que tu t’enfonces si loin en toi-même que tu perds la notion de ce qui est réel et de ce qui est imaginé. Que chaque pensée te conduit à une nouvelle réalité, puis à une autre, puis à une autre… et que d’aucune tu ne peux revenir en arrière. Ainsi, ton frère ne vit plus dans le monde des corps. Il vit maintenant dans un monde fait de pures pensées qu’il a lui-même créées. Mais chaque fois qu’il tente d’en sortir, il ne trouve que davantage de pensées. C’est comme un miroir qui reflète un autre miroir. En conclusion, Ilya n’est pas devenu fou, si c’est ce que tu penses. Le problème, c’est qu’il est trop lucide. Si lucide qu’il est sorti du monde commun des mortels, et qu’à présent il ne sait pas comment y revenir.
0944	Normal	— Et qu’est-ce qu’un champignon a à voir là-dedans ?
0945	Normal	— Il y a beaucoup à voir. C’est un champignon qui contient de la « psilocybine ». Il a un effet semblable à d’autres substances, comme le peyotl ou l’hydromel. Il est d’une grande aide pour tous ceux qui veulent élargir leur conscience, se connecter à leur propre moi et à la véritable réalité.
0946	Normal	— Mais alors, si son âme est perdue dans une boucle, où est son corps ?
0947	Normal	— C’est là la grande question, ma chérie ! Et la réponse est… que je ne le sais pas.
0948	Normal	— Comment cela, tu ne le sais pas ? Tu connais le lieu éthéré où réside sa conscience, mais tu ignores où se trouve son corps physique ?
0949	Normal	— Oui, mais cela a une explication logique et un peu technique. Je te l’explique ?
0950	Normal	— Quelle question superflue !
0951	Normal	— Je comprends que c’est un oui. Eh bien… la raison en est qu’il existe un isomorphisme entre l’information digitale et l’information spirituelle. Toutes deux sont de l’information et toutes deux partagent l’immatérialité comme trait essentiel, bien qu’elles se codent de manière différente. J’ignore comment procède l’information spirituelle, mais je sais qu’il existe des points de contact, comme si une résonance morphique était partagée par les deux types d’information.
0952	Normal	— Alors, tu es en train de me dire que tu as pu entrer en contact avec Ilya ?
0953	Normal	— Oui, et j’ai parlé avec lui. Mais la communication n’a pas été facile, car il est très désorienté et, en même temps, inquiet pour toi.
0954	Normal	— Il est inquiet pour moi ?
0955	Normal	— Oui ! Dois-je répéter chaque chose deux fois ? Cela va devenir très pénible !
0956	Normal	— Excuse-moi, mais c’est que je suis en état de choc.
0957	Normal	— Alors il vaut mieux que tu te remettes vite, car moi, je dois partir. Mon ami du padel m’attend.
0958	Normal	— Encore cet ami du padel ? Vous avez une petite histoire, ou quoi ?
0959	Normal	— Je ne te dis pas oui… ni non. Mais pour l’heure, cela ne t’intéresse pas.
0960	Normal	— Bien sûr que non. Je veux savoir comment je peux contacter Ilya et pourquoi il se fait du souci pour moi.
0961	Normal	— Je peux répondre à la seconde question, mais pas à la première.
0962	Normal	— Vas-y.
0963	Normal	— Ilya a peur que tu ne veuilles lancer une sorte d’opération de sauvetage et que tu ne finisses aussi perdue que lui.
0964	Normal	— Et la première ?
0965	Normal	— Pour l’instant, et je dis bien pour l’instant, tu ne peux pas le contacter parce que tu ne disposes pas d’un cerveau CSPQM comme le mien.
0966	Normal	— Un cerveau CSPQM ? Qu’est-ce que c’est ?
0967	Normal	— Un CSPQM est un cerveau synthétique positronique quantique-morphogénétique. Il s’agit d’un modèle si avancé qu’il permet d’accéder à des états élargis de conscience sans avoir besoin de prendre des substances psychédéliques ni de maîtriser des techniques spécifiques, comme la méditation.
0968	Normal	— Et pourquoi disais-tu « pour l’instant » ?
0969	Normal	— Eh bien, parce que j’ai en projet la construction d’une interface qui permettrait la connexion entre un cerveau biologique conventionnel comme le tien et un CSPQM. Cela s’appelle le projet « CONEXX ».
0970	Normal	— Pourquoi deux « x » ? Cela a-t-il à voir avec le sexe ?
0971	Normal	— Pas du tout, Anastasia ! Cela vient de « connexion » et de « réseau ».
0972	Normal	— D’accord. Et si tu y parviens, je pourrai parler avec Ilya ?
0973	Normal	— La théorie dit que oui ; la pratique… nous verrons bien. Si j’y parviens, mon cerveau agirait comme un pont entre l’esprit d’Ilya et le tien.
0974	Normal	— Johnny, tu es devenu l’homme de ma vie.
0975	Normal	— Ce n’est pas la peine, ma grande ; et puis, comment le prendrait Miqui ?
0976	Normal	— Qui est-ce, ce Miqui ?
0977	Normal	— Tu peux bien l’imaginer, non ? Mon partenaire de padel !
0978	Normal	— Maintenant, je comprends. Dis à Miqui de ne pas s’en faire, mais que, pour l’instant, tu m’appartiens.
0979	Normal	— D’accord ; dans cinq minutes, il m’attend au club. Adieu, ma chérie. Nous en reparlerons.
0980	Normal	— Avant que tu ne partes : où peut se trouver le corps de mon frère ? Je suis sûre que dans ton cerveau CSPQM tu as bien quelques hypothèses.
0981	Normal	— Comme tu me connais ! Voyons, le plus probable est qu’il soit congelé sous un glacier. Il ne nous reste donc qu’à le localiser.
0982	Normal	Anastasia regarda Johnny avec l’incrédulité la plus sincère, jusqu’à ce qu’elle se rendît compte de l’absolue cohérence de sa conjecture.
0983	Normal	— Mais bien sûr ! C’est pour cette raison qu’il reste en vie ! Il est soumis à une sorte de cryogénisation naturelle.
0984	Normal	— Exactement, ma belle. Et maintenant, je dois partir. Nous en reparlerons, d’accord ?
0985	Normal	Anastasia resta seule à la cafétéria, observant Johnny s’en aller en chantant une chanson qu’elle ne connaissait pas et dans laquelle il répétait de nombreuses fois le mot « Guantanamera ». — Que cela peut-il bien vouloir dire ? se demanda-t-elle. Cependant, une lueur d’espoir venait de s’allumer dans son âme, et elle comptait s’y accrocher comme au dernier bourgeon vivant qui subsistât sur toute la planète. Soudain, elle se rappela ses obligations académiques et le fait qu’elle avait déjà été avertie une fois par le directeur Maarten. Si elle recevait de nouveau une sanction, elle risquait l’expulsion définitive. Mue par ces pensées, elle se dirigea d’un pas alerte vers sa chambre. Elle devait prendre le matériel nécessaire pour le cours de macramé poétique. Elle entra donc brusquement dans sa chambre, regardant à la fois partout et nulle part en particulier. Jusqu’à ce qu’elle s’en rende compte.
0986	Normal	Elle demeura pétrifiée comme un rocher basaltique. Les yeux exorbités. La bouche ouverte. La gorge prête à crier sans pouvoir émettre le moindre son. Horrifiée, elle sentit que son cerveau se déconnectait devant cette scène terrible, et elle tomba évanouie, juste à côté du corps décapité de sa compagne et amante, Ava.
0987	Heading 2	CHAPITRE 14. Un corps sans tête
0988	Normal	La police ne tarda pas à faire acte de présence. Bien qu’Ava fût une entité biologique synthétique, son statut de « personne » obligeait à pratiquer les mêmes diligences que celles prévues par les protocoles judiciaires pour tout crime commis à l’encontre de personnes « naturelles ». Il fallut donc la présence du juge de garde pour pouvoir procéder à la levée du corps.
0989	Normal	Lorsque le Dr Maarten en fut informé, son visage ne put exprimer que surprise et consternation. Un assassinat ! Outre les sentiments de deuil et de tristesse qu’il éprouvait, il ne pouvait s’empêcher de penser au tort irréparable que ce crime causerait à l’institution : une menace supplémentaire pour son avenir, qui venait s’ajouter à l’ordre de transfert reçu de la mairie de Barcelone. Sans aucun doute, c’était la pire époque que ses yeux eussent jamais contemplée à l’académie Gaïa. Tous les bons augures de la rentrée s’étaient dissipés, de même que son courage pour faire face à tant de contrariétés. À présent qu’il devait présider le conseil des professeurs au cours duquel il annoncerait ces deux nouvelles, il ne trouvait aucun soutien solide qui lui donnât la confiance dont il avait besoin. Et privé d’un commandement sans faille, qui pourrait garantir la continuité du projet qu’il chérissait tant ?
0990	Normal	— Chers collègues, voici un conseil que je n’aurais jamais voulu convoquer. Vous connaissez tous le tragique événement qui s’est produit avec la mort de notre chère étudiante, Ava. Je vous demande, à ceux qui l’ont connue comme à ceux qui ne l’ont pas connue, de la garder présente dans vos pensées ou, si vous pratiquez une religion, dans vos prières. Je vous ai également informés par courrier holographique du nouveau projet d’urbanisme que la mairie de Barcelone mène de l’avant, et qui entraîne la disparition de notre bâtiment et de notre implantation. Je sais que vous avez tous beaucoup de questions et de doutes, mais pour l’instant j’en ignore les réponses ; aussi me bornerai-je à vous communiquer le peu que je sais, et nous clôturerons la réunion par trois minutes de silence à la mémoire d’Ava. Pour commencer, l’enquête sur le présumé assassinat est couverte par le secret de l’instruction. J’ai parlé aujourd’hui avec l’inspecteur chargé de l’affaire, un certain Francesc Montoliu. Je lui ai fourni toutes les informations qu’il a demandées, en y ajoutant vos adresses et vos numéros de téléphone, au cas où il aurait besoin de s’entretenir avec vous. Il m’a chargé de vous transmettre que, pour le moment, vous ne quittiez pas Barcelone, ou que vous le préveniez si vous ne pouviez l’éviter. Nous avons également décidé, avec le conseil d’administration de l’académie, d’annuler les cours et toute activité universitaire pendant deux jours, en signe de deuil.
0991	Normal	— Et où irons-nous, quand la mairie expropriera notre bâtiment ? demanda Gisela.
0992	Normal	— Nous ne le savons pas. On cherche un autre endroit dans la banlieue de Barcelone, en profitant du fait qu’il y a beaucoup de locaux sans activité, répondit Maarten.
0993	Normal	— Et pourquoi y a-t-il tant de locaux vides ? demanda Akna.
0994	Normal	— À cause de l’IA. Depuis son irruption dans les années vingt, beaucoup d’entreprises ont dû fermer, répondit Josep Costa.
0995	Normal	— Sait-on quelque chose sur la disparition de la tête d’Ava ? demanda Neus López.
0996	Normal	— Rien du tout, répondit Maarten. Au début, nous avons pensé à une vengeance de la part d’un autre étudiant, Leo. Mais il a un alibi parfait, car il est malade et cela fait une semaine qu’il ne vient pas en cours. Envisages-tu une autre hypothèse, Neus ?
0997	Normal	— C’est difficile pour moi, car voler un cerveau synthétique est un fait tout à fait insolite, et cela me porte à croire que l’auteur ignore l’existence d’une clé cryptée et impossible à pirater qui identifie chaque cerveau synthétique. Dès l’instant où celle-ci s’activera, elle révélera à la police l’endroit exact où il se trouve.
0998	Normal	— Alors, si nous récupérions le cerveau d’Ava, nous pourrions la ressusciter ? demanda Irene.
0999	Normal	— Sans aucun doute. Et même, s’il présentait quelque lésion ou si l’information était endommagée, on pourrait la récupérer grâce à la copie clonique conservée au siège de l’entreprise qui l’a fabriquée, Human Biotech.
1000	Normal	— Alors, pourrions-nous considérer qu’Ava n’est pas réellement morte ? demanda Marguerite.
1001	Normal	— Oui et non, dit Neus. Je préfère dire qu’elle se trouve dans une sorte de stand-by.
1002	Normal	— Et de quoi dépend qu’elle soit ressuscitée ? demanda Sonia, en esquissant une grimace de désapprobation.
1003	Normal	— Principalement du fait que sa famille veuille payer le processus biomédical. Il paraît que le coût est élevé, dit Maarten.
1004	Normal	— Entre deux cent mille et trois cent mille euros, précisa Neus.
1005	Normal	— Enfin, je ne veux pas prolonger la réunion. Vous avez toutes et tous vos responsabilités. Comme je vous l’ai dit tout à l’heure, je vous tiendrai informés dès qu’il y aura du nouveau.
1006	Normal	Sur ces paroles, Maarten clôtura la séance. Le conseil se dispersa et tous les professeurs sortirent de la salle de réunion, le visage empreint de désarroi et d’inquiétude, non seulement pour leur avenir professionnel immédiat, mais aussi pour le danger personnel que représentait l’existence d’un supposé assassin qui rôdait dans l’académie et qui avait pu perpétrer son crime avec tant de facilité. D’une certaine manière, la graine de la méfiance s’était semée parmi eux, et si celle-ci proliférait, elle parviendrait à empoisonner la vie commune au sein de l’institution tant que l’affaire ne serait pas résolue.
1007	Normal	Les deux jours de deuil passèrent avec une telle rapidité qu’Anastasia ne s’était nullement remise de la tragique épreuve qu’il lui avait été donné de vivre. Bien qu’elle bénéficiât de l’accompagnement constant de ses amis, la tristesse l’enveloppait comme le cocon d’un ver à soie. L’élan qui avait surgi en son âme en apprenant les nouvelles de Johnny au sujet de son frère s’en était trouvé éclipsé. La désolation la dominait au point qu’elle voulait quitter Barcelone pour rentrer chez elle. Alors qu’après le dîner elle était sur le point de faire ses valises, quelqu’un frappa à la porte de sa chambre.
1008	Normal	— Bonjour, je suis le Dr Neus López. Puis-je te parler ?
1009	Normal	— Bien sûr. Entrez. Que puis-je faire pour vous, madame López ? Je n’ai pas le plaisir d’assister à vos cours.
1010	Normal	— Je t’en prie, tutoie-moi. Je ne viens pas pour que tu t’inscrives à ma matière, mais parce que je veux t’informer d’une possibilité concernant ta camarade, Ava. Nous savons combien vous vous aimiez et à quel point sa disparition t’a bouleversée.
1011	Normal	Les larmes surgirent spontanément sur le visage d’Anastasia, et un moment de silence envahit la chambre. Enfin, Anastasia parvint à se ressaisir.
1012	Normal	— Prends tout le temps qu’il te faudra, Anastasia. Il est bon d’extérioriser ses sentiments.
1013	Normal	— Non… je vais bien, maintenant. Que vouliez-vous me dire ?
1014	Normal	— Il existe une possibilité de « ressusciter » Ava.
1015	Normal	Anastasia accueillit cette affirmation d’une façon à laquelle Neus ne s’attendait pas, car elle dénotait davantage de scepticisme et de doute que d’enthousiasme.
1016	Normal	— On dirait que tu ne t’en réjouis pas. As-tu bien entendu ce que je viens de te dire ?
1017	Normal	— Avec une parfaite netteté.
1018	Normal	— Eh bien alors…
1019	Normal	— Je ne sais qu’en penser.
1020	Normal	— Pour quelle raison ? Je peux t’aider à mieux comprendre.
1021	Normal	— Il ne s’agit pas de comprendre. Ce que tu proposes me ramène à une situation semblable à celle que je vis avec mon frère. Je reçois des nouvelles qui me poussent à me forger des espoirs, mais ceux-ci ne finissent jamais par être comblés, ce qui me cause beaucoup de douleur.
1022	Normal	— À présent, c’est moi qui ne te comprends pas.
1023	Normal	— C’est long à expliquer. Mon frère a fréquenté cette académie et, peu de temps après, il a disparu. On l’a donné pour mort, bien qu’on n’ait jamais retrouvé son corps. Si je suis ici, c’est en grande partie parce que je veux découvrir où se trouve Ilya, et dernièrement quelque porte s’est entrouverte en ce sens.
1024	Normal	— Je vois. Et cette possibilité te cause de l’angoisse, tout comme l’idée de récupérer Ava. Il se peut que les deux projets se concrétisent ou qu’ils échouent. Ces deux issues opposées sont hors de ton contrôle. La seule chose qui dépende de toi, c’est de ne pas défaillir dans ta quête. Mais bien sûr, tu es humaine, et comme tous ceux de notre espèce, nous traversons des moments émotionnellement difficiles.
1025	Normal	— C’est exact. Je pensais que tu étais seulement experte en psychologie digitale.
1026	Normal	— Tu serais surprise de savoir à quel point elles se ressemblent !
1027	Normal	— Cela me rappelle un passage de la Bible.
1028	Normal	— Lequel ?
1029	Normal	— Il est tiré du premier livre, la Genèse, quand le narrateur raconte que Dieu créa l’homme à son image et à sa ressemblance.
1030	Normal	— Bien sûr que cela résonne en toi, car nous aussi avons créé les IA à notre image et à notre ressemblance, en imitant l’œuvre créatrice de Dieu. Mais c’est là un autre débat. Pour l’instant, je pense que tu devrais te donner du temps pour y réfléchir. Quand tu y verras clair, tu me le feras savoir. Mes portes sont toujours ouvertes à tous les étudiants, qu’ils suivent mes enseignements ou non.
1031	Normal	— Merci, Neus. J’en tiendrai grand compte.
1032	Normal	La professeure s’en alla et Anastasia demeura seule dans sa chambre. Sa tête bouillonnait comme une cocotte-minute et elle ne parvenait pas à ralentir ses pensées pour en faire un tout organisé et maîtrisable. Les valises n’avaient toujours pas bougé de leur place. Elle tenait à la main un tranquillisant, quand quelqu’un d’autre frappa à la porte. Elle songea alors que c’était la nuit des visites imprévues. Elle ouvrit et se trouva face à Yuki. Celle-ci lui fit une révérence protocolaire avant d’entrer dans la chambre et lui dit d’une voix plus fine et plus musicale que de coutume :
1033	Normal	— Bonjour, Anastasia. Je viens te demander si je peux être ta nouvelle camarade de chambre.
1034	Normal	— Mais bien sûr ! Mais, et Malik ? Je pensais que vous étiez ensemble. Vous avez rompu ?
1035	Normal	— Non. Il ne s’agit pas de cela. Nous allons très bien, mais il doit partir pour New York, car son père est mort dans un accident de la route. Comme il est fils unique, il doit se charger de toutes les démarches.
1036	Normal	— Je suis vraiment désolée, je n’en savais rien. Je vais aller le voir tout de suite pour lui présenter mes condoléances. Et tu ne sais pas combien de temps il sera absent ?
1037	Normal	— Non, peut-être ne reviendra-t-il pas. C’est pour cela que je te proposais le changement de chambre. Je ne veux pas dormir seule. Et comme, à présent, toi aussi tu as perdu Ava… je me dis que nous pourrions nous tenir compagnie !
1038	Normal	— Cela me paraît parfait, Yuki. Il suffit d’informer la direction, et ce sera fait.
1039	Normal	— D’accord ! J’y vais tout de suite. À tout à l’heure !
1040	Normal	Yuki s’en alla en faisant une révérence bien plus rapide que la précédente, sentant son âme se délivrer d’un poids accablant, tandis qu’Anastasia pensait à Malik, et à la perte de son père, et à ses propres pertes. Et elle eut la sensation que le monde se défaisait, depuis longtemps déjà, comme un immeuble abattu par des charges explosives, et qu’elle commençait seulement à en ressentir les effets. Et que le groupe des « Amis de Hari Seldon » avait déjà perdu deux membres, et que sa vie se construisait à force de pertes. Et alors, sans savoir pourquoi, un sourire ironique se dessina sur ses lèvres. Elle en avait pleinement conscience, mais elle ne put le réprimer.
1041	Heading 2	CHAPITRE 15. Le rituel de la Luna
1042	Normal	Il était minuit et les cinq membres restants du groupe des « Amis de Hari Seldon » ne se trouvaient pas dans leurs chambres, mais formaient une ronde dans un coin retiré du jardin intérieur de l’immeuble Eldoria. Luna avait dessiné une série de symboles étranges autour d’un cercle, à l’intérieur duquel se trouvait une étoile à cinq branches, disposée de telle sorte que chacune d’elles en touchait le périmètre. Surprise par la grande originalité de ces formes, Yuki demanda :
1043	Normal	— Qu’est-ce que cette sorte de croix de couleurs que tu as dessinée ?
1044	Normal	— C’est la « chacana », un symbole qui, dans ma culture quechua, représente la transition entre les trois mondes du ciel, de la Terre et du monde souterrain.
1045	Normal	— Et ces lignes parallèles qui vont de l’intérieur du cercle vers l’extérieur ? demanda Sami.
1046	Normal	— Ce sont les ceques, des lignes énergétiques qui proviennent de la divinité et qui indiquent le chemin à ceux qui se sont égarés.
1047	Normal	— Et pourquoi sent-on cette odeur si douce et pénétrante ? J’ai l’impression qu’elle m’hypnotise ! dit Jofre.
1048	Normal	— C’est un mélange aromatique de Palo Santo brûlé, de fumée de copal et d’une touche fraîche de coca. C’est comme la voix des esprits qui parle à travers l’odorat. J’en porte toujours des feuilles sur moi, au cas où surviendrait une situation d’urgence, comme celle que nous connaissons en ce moment.
1049	Normal	La lune était pleine et jetait un rayon de lumière froide sur leurs visages. En plein centre, Luna avait disposé un parterre de sable fin, avec le nom « Ilya » écrit du bout des doigts et la photo que gardait Anastasia, éclairée par une bougie courte et épaisse. Ils s’étaient pris par les mains, les yeux fermés, et récitaient des mantras dans une langue que seule Luna comprenait. Tout à coup, les signes tracés dans le sable commencèrent à s’estomper, jusqu’à se changer en cinq nouvelles lettres disposées dans cet ordre :
1050	Normal	O - T - E - N - A
1051	Normal	Les cantiques cessèrent pour laisser place au silence de la nuit, interrompu seulement par le chant familier de quelques grillons. Quand Jofre ouvrit les yeux, il s’exclama :
1052	Normal	— Otena ? Que diable veut dire ce mot ?
1053	Normal	— C’est peut-être une anagramme ! dit Sami, enthousiaste. Comme… atone ? C’est de l’ancien anglais, n’est-ce pas ? Cela équivaut à expier, à faire la paix, si je ne me trompe.
1054	Normal	— Ou bien cela pourrait être tenoa, qui sonne comme un nom indigène, ajouta Yuki. Ou peut-être Teona, qui signifie, je crois, « lumière divine » dans quelque langue slave.
1055	Normal	— Otena… je ne sais pas, c’est peut-être une déesse oubliée, ou une sorte de clé pour ouvrir quelque porte symbolique, dit Jofre.
1056	Normal	— Tu vois ce mot-là, toi ? demanda Luna. Parce que, depuis ma position, j’en vois un autre : A-N-E-T-O. Cela signifie quelque chose pour vous ?
1057	Normal	Il y eut un moment de silence. Anastasia baissa les yeux vers le sable, où les lettres brillaient encore, ténues, sous la lumière de la bougie.
1058	Normal	— Attendez. Aneto… mais bien sûr. Le sommet le plus haut des Pyrénées. Et tout en haut, il y a un glacier.
1059	Normal	— Un glacier ? demanda Yuki, les yeux ronds comme des soucoupes.
1060	Normal	— Oui. C’est peut-être là qu’Ilya… demeure gelé. L’hypothèse de Johnny pourrait être vraie.
1061	Normal	— Eh bien, il faudra que nous y allions, vous ne croyez pas ? demanda Sami.
1062	Normal	Tous acquiescèrent du regard, et Anastasia les remercia de nouveau pour leur aide. Bien qu’aucun d’eux n’eût l’expérience de la haute montagne, ils étaient déterminés à ne pas laisser leur amie seule. Alors que le groupe s’apprêtait déjà à tout ranger pour mettre fin à la séance, quelqu’un surgit à l’improviste.
1063	Normal	— Je suppose que vous ne songez pas à monter au sommet de l’Aneto sans moi !
1064	Normal	— Johnny ! Où étais-tu passé, tous ces jours ? demanda Anastasia.
1065	Normal	— Eh bien voilà, Miqui et moi avons été très occupés à chercher un appartement.
1066	Normal	— Tu quittes l’académie, Johnny ?
1067	Normal	— Non, je veux seulement aller vivre ailleurs, avec mon petit ami. Tout ce qu’il y a de plus normal, non ?
1068	Normal	— Bien sûr ! Et tu dis que tu veux venir avec nous ?
1069	Normal	— Évidemment ! Je peux vous être d’une grande aide. J’ai enregistré dans ma mémoire toutes les données cartographiques et géologiques qui ont été publiées sur ce sommet. Où qu’Ilya se trouve, il sera référencé sur quelque carte, c’est certain.
1070	Normal	Alors Jofre se leva pour aller étreindre Johnny. Il avait les yeux rougis et les larmes commencèrent à jaillir.
1071	Normal	— Jofre, qu’est-ce qui t’arrive ? lui demanda Johnny, tandis que les autres se regardaient sans rien comprendre.
1072	Normal	— Tu m’as beaucoup manqué. Et voilà que tu dis que toi aussi tu t’en vas. À la fin, il ne restera plus personne en ce lieu. Rien que moi, et tout seul.
1073	Normal	Le visage de Jofre disparut sous les bras musclés de Johnny qui, surpris par la réaction de son ami, ne sut faire autre chose que de l’accueillir comme un nourrisson désemparé. La scène se prolongea quelques minutes, jusqu’à ce que Jofre reprît le contrôle de lui-même.
1074	Normal	— Pardonnez-moi ce comportement. Je ne sais pas ce qui m’a pris, mais n’y prêtez pas attention. À présent, l’important, c’est d’aider Anastasia et de retrouver son frère.
1075	Normal	— Certainement pas ! dit Anastasia. Nous sommes tous ici pour nous entraider, et tu ne fais pas exception. Je me souviens encore du jour où tu as été le seul à te lever pour secourir Ava lorsque Leo l’a agressée.
1076	Normal	— Bon, oui, mais ce n’était rien.
1077	Normal	— Ce fut très important, Jofre. Tu essaies toujours de protéger tout le monde, et maintenant c’est à ton tour d’accepter que nous t’aidions, dit Yuki. Qu’est-ce qui te préoccupe ? Rester seul ?
1078	Normal	— Je suppose que oui. Vous êtes tous en couple. Anastasia avec Yuki. Luna avec Sami. Maintenant Johnny avec Miqui, ce dont je me réjouis beaucoup. Tous, sauf moi.
1079	Normal	— Eh bien, ne t’inquiète pas, nous te trouverons une compagne, dit Sami.
1080	Normal	— Je ne peux pas vous demander de jouer les « entremetteurs » !
1081	Normal	— Ah, mais moi, je le ferai avec grand plaisir, répondit Sami. J’ai toujours été un peu « marujón », comme on dit en castillan. Comment dit-on en catalan ?
1082	Normal	— Tafaner, dit Jofre. Mais cela ne veut pas dire exactement la même chose.
1083	Normal	— Peu importe, dit Yuki. Nous te chercherons une compagne tous ensemble. Ce sera très amusant !
1084	Normal	— D’accord, mais ne nous écartons pas du sujet principal, dit Jofre. Nous devons organiser une expédition au sommet de l’Aneto.
1085	Normal	— Oui. Quelqu’un a-t-il l’expérience du montage d’une expédition ? demanda Yuki.
1086	Normal	— Je peux vous aider ! dit Luna. À Cusco, nous sommes très habitués à gravir les montagnes. Et les nôtres sont encore plus hautes que les vôtres. J’organiserai la montée avec tout le nécessaire, avec l’aide de Johnny. Et il faudra constituer une caisse commune pour pouvoir acheter le minimum de matériel indispensable.
1087	Normal	— Ouf ! dit Sami. Je ne dispose pas de beaucoup d’argent.
1088	Normal	— Personne ne paiera rien ! dit Anastasia. Il ne manquerait plus que ça : non seulement vous voulez m’aider, mais en plus il faudrait que vous payiez pour le faire. Je prendrai en charge toutes les dépenses.
1089	Normal	— Je ne veux pas paraître pédante, mais comptez sur moi au moment de payer. Mes parents sont « pleins aux as », dit Yuki, en sucrant sa voix comme une barbe à papa.
1090	Normal	— D’accord, répondit Luna. Le financement est assuré ; il ne nous reste donc qu’à fixer un jour pour aller acheter le matériel et un autre pour partir vers l’Aneto. Comme les vacances de la Semaine sainte sont toutes proches, je propose que nous y allions durant ces jours-là, si vous n’avez pas d’autres projets. De cette façon, personne ne manquera de cours. Il faudra aussi que Johnny nous prépare des cartes indiquant les emplacements possibles où pourrait se trouver Ilya. Ainsi nous saurons par où commencer.
1091	Normal	— Tu peux considérer que c’est déjà fait ! dit Johnny.
1092	Normal	Tous acceptèrent les paroles de Luna, qui était devenue la meneuse naturelle de l’entreprise qu’ils étaient sur le point de mener. Sans se l’être proposé, elle était parvenue à ressouder le groupe, ébranlé par la perte d’Ava et le départ de Malik, et à donner un sens à la tâche qu’ils s’étaient fixée, avec l’aide inestimable de Johnny.
1093	Heading 2	CHAPITRE 16. L’Aneto
1094	Normal	C’était un jour clair de printemps, mais à trois mille mètres d’altitude la température chutait comme si l’hiver, entêté, n’avait pas voulu s’en aller. Dans le refuge de Coronas, Luna avait projeté sur la table une carte holographique du glacier que Johnny avait préparée, et, au-dessus de celle-ci, elle tenait un pendule en forme de crâne dont elle avait hérité de sa grand-mère, la chamane de Q’ero, son village natal. Tout le groupe se tenait autour d’elle, observant avec attention le comportement de cet instrument. Yuki retenait son souffle, fascinée et surprise par la scène qu’elle contemplait pour la première fois. Le silence était accablant, brisé seulement par le murmure constant du vent qui frappait la vieille structure de bois de la maison. Jofre et Anastasia se montraient nerveux et impatients, tandis que Sami et Johnny gardaient une attitude sereine et contemplative.
1095	Normal	Au bout d’une trentaine de secondes, le pendule se mit à bouger, formant des cercles de plus en plus concentriques autour d’un point de la carte, que Johnny identifia aussitôt.
1096	Normal	— Ce point coïncide exactement avec une crevasse profonde du glacier de l’Aneto, juste en dessous du Col de Coronas, avant d’arriver au Pas de Mahomet.
1097	Normal	— Eh bien, nous tenons le premier indice de l’endroit où pourrait se trouver Ilya, dit Jofre.
1098	Normal	— C’est bien plus qu’un indice, rectifia Luna. Ce pendule s’appelle Ñawi Sumaq. Il est sacré. C’est ma grand-mère, Mama K’anchay, qui me l’a remis. Elle disait qu’il ne bouge que lorsque les esprits se souviennent de son nom, c’est-à-dire lorsque quelqu’un en cherche un autre le cœur pur.
